1, Konrad Geßner, p1283, , Heinrich Bullinger [Antistes], p495
3271, Heinrich Bullinger [Antistes], p495, 13. August 1557, Johannes Fabricius Montanus (Schmid), p8009
3272, Théodor de Bèze (Beza), p8033, 18. August 1557, Heinrich Bullinger [Antistes], p495
3273, Johannes Oporin(us Herbster), p8126, 18. August 1557, Heinrich Bullinger [Antistes], p495
3274, Johannes Ehinger, p1000, 19. August 1557, Heinrich Bullinger [Antistes], p495
3275, Heinrich Bullinger [Antistes], p495, 20. August 1557, Johannes Calvin, p540
3276, Heinrich Bullinger [Antistes], p495, 20. August 1557, Johannes Fabricius Montanus (Schmid), p8009
3277, Johannes Haller d.J., p8018, 20. August 1557, Heinrich Bullinger [Antistes], p495
3278, Wolfgang Musculus (Müsli Meuslin), p8417, 20. August 1557, Heinrich Bullinger [Antistes], p495
3279, Gereon Sailer, p2856, 20. August 1557, Heinrich Bullinger [Antistes], p495
3280, Johannes Haller d.J., p8018, 23. August 1557, Heinrich Bullinger [Antistes], p495
3281, Martin Micronius (de Cleyne), p8415, 23. August 1557, Heinrich Bullinger [Antistes], p495
3282, Théodor de Bèze (Beza), p8033, 2. August 1557, Heinrich Bullinger [Antistes], p495
3283, Johannes Hospinian (Wirth), p8384, 25. August 1557, Heinrich Bullinger [Antistes], p495
3284, Jean de Ferrières Sr. de Maligny et Vidame de Chartres (Carnutiensis), p8342, 26. August 1557, Heinrich Bullinger [Antistes], p495
3285, Johannes Calvin, p540, 31. August 1557, , 
3286, Johannes Calvin, p540, 31. August 1557, Heinrich Bullinger [Antistes], p495
3287, Johannes Fabricius Montanus (Schmid), p8009, 31. August 1557, Heinrich Bullinger [Antistes], p495
3288, , , 31. August 1557, Heinrich Herzog von Guise (de Lorraine), p8621
3289, Guillaume Farel, p1049, 31. August 1557, Heinrich Bullinger [Antistes], p495
3290, Friedrich von Salis (a Salize de Salicibus), p8432, 31. August 1557, Heinrich Bullinger [Antistes], p495
3291, Martin Borrhaus (Cellarius), p8298, 1. September 1557, Heinrich Bullinger [Antistes], p495
3292, Heinrich Bullinger [Antistes], p495, 1. September 1557, , 
3293, , , 1. September 1557, Heinrich Bullinger [Antistes], p495
3294, , , 1. September 1557, , 
3295, Heinrich Bullinger [Antistes], p495, 2. September 1557, Johannes Fabricius Montanus (Schmid), p8009
3296, Heinrich Bullinger [Antistes], p495, 3. September 1557, Johannes Fabricius Montanus (Schmid), p8009
3297, Peter Venetscher (Venetz), p8512, 2. September 1557, Heinrich Bullinger [Antistes], p495
3298, Johannes Kessler, p1789, 3. September 1557, Heinrich Bullinger [Antistes], p495
3299, Théodor de Bèze (Beza), p8033, 4. September 1557, Heinrich Bullinger [Antistes], p495
3300, Pierre Viret, p3429, 4. September 1557, Heinrich Bullinger [Antistes], p495
3301, Heinrich Bullinger [Antistes], p495, 5. September 1557, Martin Borrhaus (Cellarius), p8298
3302, Wolfgang Waidner, p3902, 5. September 1557, Heinrich Bullinger [Antistes], p495
3303, Théodor de Bèze (Beza), p8033, , Heinrich Bullinger [Antistes], p495
3304, Wolfgang Waidner, p3902, 6. September 1557, Heinrich Bullinger [Antistes], p495
3305, Francesco Lismanini, p1936, 8. September 1557, Heinrich Bullinger [Antistes], p495
3306, Friedrich von Salis (a Salize de Salicibus), p8432, 8. September 1557, Heinrich Bullinger [Antistes], p495
3307, Jakob Rüeger, p2757, 9. September 1557, Heinrich Bullinger [Antistes], p495
3308, Heinrich Bullinger [Antistes], p495, 10. September 1557, Johannes Calvin, p540
3309, Heinrich Bullinger [Antistes], p495, 10. September 1557, , 
3310, Johannes Calvin, p540, 13. September 1557, Heinrich Bullinger [Antistes], p495
3311, Johannes Fabricius Montanus (Schmid), p8009, 13. September 1557, Heinrich Bullinger [Antistes], p495
3312, Wolfgang Musculus (Müsli Meuslin), p8417, 13. September 1557, Heinrich Bullinger [Antistes], p495
3313, Johannes Haller d.J., p8018, 14. September 1557, Heinrich Bullinger [Antistes], p495
3314, Johannes Ehinger, p1000, 15. September 1557, Heinrich Bullinger [Antistes], p495
3315, Gereon Sailer, p2856, 16. September 1557, Heinrich Bullinger [Antistes], p495
3316, David Whitehead, p7907, 17. September 1557, Heinrich Bullinger [Antistes], p495
3317, Johannes Haller d.J., p8018, 17. September 1557, Heinrich Bullinger [Antistes], p495
3318, Johannes Haller d.J., p8018, 17. September 1557, Heinrich Bullinger [Antistes], p495
3319, Hieronymus Zum Lamb (Agninus), p9697, 17. September 1557, Heinrich Bullinger [Antistes], p495
3320, Hans Welser, p3927, 17. September 1557, Heinrich Bullinger [Antistes], p495
3321, Ambrosius Blarer (Blaurer), p8055, 18. September 1557, Heinrich Bullinger [Antistes], p495
3322, Ambrosius Blarer (Blaurer), p8055, 18. September 1557, Heinrich Bullinger [Antistes], p495
3323, Thomas Lever, p1911, 18. September 1557, Heinrich Bullinger [Antistes], p495
3324, Johannes Haller d.J., p8018, 20. September 1557, Heinrich Bullinger [Antistes], p495
3325, Philipp Melanchthon, p2095, 20. September 1557, Heinrich Bullinger [Antistes], p495
3326, Théodor de Bèze (Beza), p8033, 22. September 1557, , 
3327, Philipp Melanchthon, p2095, 23. September 1557, Heinrich Bullinger [Antistes], p495
3328, Théodor de Bèze (Beza), p8033, 24. September 1557, Heinrich Bullinger [Antistes], p495
3329, Hermann Pincier (Veteranus), p8494, 24. September 1557, Heinrich Bullinger [Antistes], p495
3330, Simon Sulzer, p3099, 24. September 1557, Heinrich Bullinger [Antistes], p495
3331, Johannes Haller d.J., p8018, 25. September 1557, Heinrich Bullinger [Antistes], p495
3332, Wigand Happel, p1456, 25. September 1557, Heinrich Bullinger [Antistes], p495
3333, Heinrich Bullinger [Antistes], p495, 26. September 1557, Johannes Calvin, p540
3334, John Foxe, p1145, 26. September 1557, Heinrich Bullinger [Antistes], p495
3335, Simon Sulzer, p3099, 26. September 1557, Heinrich Bullinger [Antistes], p495
3336, Martin Borrhaus (Cellarius), p8298, 27. September 1557, Heinrich Bullinger [Antistes], p495
3337, Johannes Fabricius Montanus (Schmid), p8009, 27. September 1557, Heinrich Bullinger [Antistes], p495
3338, Alexander Petrus, p7915, 28. September 1557, Heinrich Bullinger [Antistes], p495
3339, Johannes Haller d.J., p8018, 28. September 1557, Heinrich Bullinger [Antistes], p495
3340, Johannes Jung, p1754, 28. September 1557, Heinrich Bullinger [Antistes], p495
3341, Heinrich Vietor, p3425, 30. September 1557, Heinrich Bullinger [Antistes], p495
3342, Andreas Hyperius (Gerhardt Gheeraerdts), p8386, 30. September 1557, Heinrich Bullinger [Antistes], p495
3343, Heinrich Bullinger [Antistes], p495, Oktober 1557, Wolfgang Waidner, p3902
3344, Johannes Calvin, p540, Oktober 1557, Heinrich Bullinger [Antistes], p495
3345, Georg von Stetten d.J., p3740, Oktober 1557, Heinrich Bullinger [Antistes], p495
3346, Heinrich Bullinger [Antistes], p495, 1. Oktober 1557, Johannes Fabricius Montanus (Schmid), p8009
3347, Konrad (Wolfhart) Lycosthenes, p8406, 3. Oktober 1557, Heinrich Bullinger [Antistes], p495
3348, Thomas Lever, p1911, 5. Oktober 1557, Heinrich Bullinger [Antistes], p495
3349, Johannes Fabricius Montanus (Schmid), p8009, 5. Oktober 1557, Heinrich Bullinger [Antistes], p495
3350, Johannes Fabricius Montanus (Schmid), p8009, 5. Oktober 1557, Heinrich Bullinger [Antistes], p495
3351, Philipp Melanchthon, p2095, 5. Oktober 1557, Heinrich Bullinger [Antistes], p495
3352, Heinrich Bullinger [Antistes], p495, 6. Oktober 1557, Johannes Calvin, p540
3353, Johannes Ehinger, p1000, 6. Oktober 1557, Heinrich Bullinger [Antistes], p495
3354, Johannes Calvin, p540, 7. Oktober 1557, Heinrich Bullinger [Antistes], p495
3355, , , 7. Oktober 1557, Heinrich Bullinger [Antistes], p495
3356, Charles Sr. de Jonvilliers (Jonvillaeus de Joan), p8078, 7. Oktober 1557, Heinrich Bullinger [Antistes], p495
3357, Heinrich Bullinger [Antistes], p495, 8. Oktober 1557, Johannes Fabricius Montanus (Schmid), p8009
3358, Johannes Haller d.J., p8018, 8. Oktober 1557, Heinrich Bullinger [Antistes], p495
3359, Hermann Pincier (Veteranus), p8494, 9. Oktober 1557, Heinrich Bullinger [Antistes], p495
3360, Heinrich Bullinger [Antistes], p495, 10. Oktober 1557, Primus (Primoz) Truber (Trubar), p8452
3361, Gereon Sailer, p2856, 10. Oktober 1557, Heinrich Bullinger [Antistes], p495
3362, Friedrich von Salis (a Salize de Salicibus), p8432, 11. Oktober 1557, Heinrich Bullinger [Antistes], p495
3363, Johannes Calvin, p540, 13. Oktober 1557, Heinrich Bullinger [Antistes], p495
3364, Simprecht Vogt, p3481, 14. Oktober 1557, Heinrich Bullinger [Antistes], p495
3365, Friedrich von Salis (a Salize de Salicibus), p8432, 15. Oktober 1557, Heinrich Bullinger [Antistes], p495
3366, Johannes Fabricius Montanus (Schmid), p8009, 16. Oktober 1557, Heinrich Bullinger [Antistes], p495
3367, Johannes Oporin(us Herbster), p8126, 17. Oktober 1557, Heinrich Bullinger [Antistes], p495
3368, Johannes Oporin(us Herbster), p8126, 17. Oktober 1557, Heinrich Bullinger [Antistes], p495
3369, Hieronymus Kranz (Sartorius), p8087, 18. Oktober 1557, Heinrich Bullinger [Antistes], p495
3370, Simon Sulzer, p3099, 18. Oktober 1557, Heinrich Bullinger [Antistes], p495
3371, Gereon Sailer, p2856, 19. Oktober 1557, Heinrich Bullinger [Antistes], p495
3372, Heinrich Bullinger [Antistes], p495, 20. Oktober 1557, Hieronymus Kranz (Sartorius), p8087
3373, Heinrich Bullinger [Antistes], p495, 20. Oktober 1557, , 
3374, Heinrich Bullinger [Antistes], p495, 24. Oktober 1557, Johannes Haller d.J., p8018
3375, Heinrich Bullinger [Antistes], p495, 25. Oktober 1557, Georg Israel, p1705
3376, Heinrich Bullinger [Antistes], p495, 25. Oktober 1557, Francesco Lismanini, p1936
3377, , , , , 
3378, Heinrich Bullinger [Antistes], p495, 26. Oktober 1557, Johannes Calvin, p540
3379, Gallus Hussar, p1693, 26. Oktober 1557, Heinrich Bullinger [Antistes], p495
3380, Heinrich Bullinger [Antistes], p495, 27. Oktober 1557, Philipp Melanchthon, p2095
3381, Ambrosius Blarer (Blaurer), p8055, 28. Oktober 1557, Heinrich Bullinger [Antistes], p495
3382, Heinrich Bullinger [Antistes], p495, 29. Oktober 1557, Johannes Fabricius Montanus (Schmid), p8009
3383, Heinrich Bullinger [Antistes], p495, 29. Oktober 1557, Johannes Fabricius Montanus (Schmid), p8009
3384, Heinrich Bullinger [Antistes], p495, 29. Oktober 1557, Friedrich von Salis (a Salize de Salicibus), p8432
3385, Heinrich Bullinger [Antistes], p495, 31. Oktober 1557, Ambrosius Blarer (Blaurer), p8055
3386, Heinrich Bullinger [Antistes], p495, November 1557, Thomas Erastus (Lüber), p8075
3387, Heinrich Bullinger [Antistes], p495, 1. November 1557, Johannes Haab, p1419
3388, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, November 1557, Heinrich Bullinger [Antistes], p495
3389, Johannes Fabricius Montanus (Schmid), p8009, 2. November 1557, Heinrich Bullinger [Antistes], p495
3390, Johannes Fabricius Montanus (Schmid), p8009, 2. November 1557, Heinrich Bullinger [Antistes], p495
3391, Heinrich Bullinger [Antistes], p495, 3. November 1557, Wolfgang Waidner, p3902
3392, Simprecht Vogt, p3481, 3. November 1557, Heinrich Bullinger [Antistes], p495
3393, John Burcher, p505, , Heinrich Bullinger [Antistes], p495
3394, Heinrich Bullinger [Antistes], p495, 5. November 1557, Johannes Fabricius Montanus (Schmid), p8009
3395, Matthieu Coignet d.Ä., p629, 5. November 1557, Heinrich Bullinger [Antistes], p495
3396, Heinrich Bullinger [Antistes], p495, 6. November 1557, Johannes (Jan) a Lasco (Laski), p8041
3397, Heinrich Bullinger [Antistes], p495, 6. November 1557, Nikolaus Radziwill (Mikolaj Czarny Graf von Olyka), p8117
3398, Heinrich Bullinger [Antistes], p495, 6. November 1557, Jan Utenhove d.Ä., p8061
3399, Georg Frölich (Laetus), p8354, 7. November 1557, Heinrich Bullinger [Antistes], p495
3400, Matthias Erb, p1010, 8. November 1557, Heinrich Bullinger [Antistes], p495
3401, Primus (Primoz) Truber (Trubar), p8452, 8. November 1557, Heinrich Bullinger [Antistes], p495
3402, Simon Sulzer, p3099, 9. November 1557, Heinrich Bullinger [Antistes], p495
3403, Philipp Melanchthon, p2095, 11. November 1557, , 
3404, Johannes Haller d.J., p8018, 13. November 1557, Heinrich Bullinger [Antistes], p495
3405, Heinrich Bullinger [Antistes], p495, 15. November 1557, Martin Borrhaus (Cellarius), p8298
3406, Johannes Calvin, p540, 15. November 1557, Heinrich Bullinger [Antistes], p495
3407, Jakob Rietmüller (Myliagrius), p8429, 18. November 1557, Heinrich Bullinger [Antistes], p495
3408, François Hotman, p1586, 19. November 1557, Heinrich Bullinger [Antistes], p495
3409, Friedrich von Salis (a Salize de Salicibus), p8432, 21. November 1557, Heinrich Bullinger [Antistes], p495
3410, Johannes Fabricius Montanus (Schmid), p8009, 22. November 1557, Heinrich Bullinger [Antistes], p495
3411, Johannes Fabricius Montanus (Schmid), p8009, 22. November 1557, Heinrich Bullinger [Antistes], p495
3412, Théodor de Bèze (Beza), p8033, 24. November 1557, , 
3413, Heinrich Bullinger [Antistes], p495, 25. November 1557, Friedrich von Salis (a Salize de Salicibus), p8432
3414, Johannes Haller d.J., p8018, 25. November 1557, Heinrich Bullinger [Antistes], p495
3415, Engelbert Milander (Eppelmann), p8486, 25. November 1557, Heinrich Bullinger [Antistes], p495
3416, Gereon Sailer, p2856, 26. November 1557, Heinrich Bullinger [Antistes], p495
3417, Wilhelm Barberos, p277, 27. November 1557, Heinrich Bullinger [Antistes], p495
3418, Johannes Ehinger, p1000, 27. November 1557, Heinrich Bullinger [Antistes], p495
3419, Marx Jenisch, p1749, 27. November 1557, Heinrich Bullinger [Antistes], p495
3420, Jakob Rietmüller (Myliagrius), p8429, 28. November 1557, Heinrich Bullinger [Antistes], p495
3421, Johannes Fabricius Montanus (Schmid), p8009, 29. November 1557, Heinrich Bullinger [Antistes], p495
3422, Johannes Haller d.J., p8018, 30. November 1557, Heinrich Bullinger [Antistes], p495
3423, Philipp Melanchthon, p2095, November 1557, , 
3424, Philipp Melanchthon, p2095, 1. Dezember 1557, Heinrich Bullinger [Antistes], p495
3425, Heinrich Bullinger [Antistes], p495, 3. Dezember 1557, Philipp Gallicius (Saluz), p8359
3426, Matthias Erb, p1010, 6. Dezember 1557, Heinrich Bullinger [Antistes], p495
3427, Matthieu Coignet d.Ä., p629, 7. Dezember 1557, Heinrich Bullinger [Antistes], p495
3428, Lelio Sozzini (Socinus), p8101, 8. Dezember 1557, Heinrich Bullinger [Antistes], p495
3429, Simon Sulzer, p3099, 8. Dezember 1557, Heinrich Bullinger [Antistes], p495
3430, Nikolaus Dluski-Kottwitz, p829, 9. Dezember 1557, Heinrich Bullinger [Antistes], p495
3431, Wolfgang Musculus (Müsli Meuslin), p8417, 11. Dezember 1557, Heinrich Bullinger [Antistes], p495
3432, Philipp Melanchthon, p2095, 12. Dezember 1557, Heinrich Bullinger [Antistes], p495
3433, Philipp Gallicius (Saluz), p8359, 13. Dezember 1557, Heinrich Bullinger [Antistes], p495
3434, Gervasius Schuler (Scholasticus), p8440, 14. Dezember 1557, Heinrich Bullinger [Antistes], p495
3435, , , 15. Dezember 1557, Théodor de Bèze (Beza), p8033
3436, Friedrich von Salis (a Salize de Salicibus), p8432, 15. Dezember 1557, Heinrich Bullinger [Antistes], p495
3437, Théodor de Bèze (Beza), p8033, 17. Dezember 1557, Heinrich Bullinger [Antistes], p495
3438, Heinrich Bullinger [Antistes], p495, 17. Dezember 1557, Johannes Fabricius Montanus (Schmid), p8009
3439, Simon Sulzer, p3099, 18. Dezember 1557, Heinrich Bullinger [Antistes], p495
3440, Kaspar Wolf, p3991, 19. Dezember 1557, Heinrich Bullinger [Antistes], p495
3441, Primus (Primoz) Truber (Trubar), p8452, 20. Dezember 1557, Heinrich Bullinger [Antistes], p495
3442, Johannes Haller d.J., p8018, 21. Dezember 1557, Heinrich Bullinger [Antistes], p495
3443, Philipp Melanchthon, p2095, 21. Dezember 1557, Heinrich Bullinger [Antistes], p495
3444, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 24. Dezember 1557, Heinrich Bullinger [Antistes], p495
3445, Matthias Erb, p1010, 25. Dezember 1557, Heinrich Bullinger [Antistes], p495
3446, Johannes Fabricius Montanus (Schmid), p8009, 27. Dezember 1557, Heinrich Bullinger [Antistes], p495
3447, Johannes Haller d.J., p8018, 29. Dezember 1557, Heinrich Bullinger [Antistes], p495
3448, Paul Skalich (Scalichius), p8100, 30. Dezember 1557, Heinrich Bullinger [Antistes], p495
3449, Girolamo Zanchi, p4037, 30. Dezember 1557, Heinrich Bullinger [Antistes], p495
3450, Johannes Hospinian (Wirth), p8384, 31. Dezember 1557, Heinrich Bullinger [Antistes], p495
3451, Engelbert Milander (Eppelmann), p8486, 31. Dezember 1557, Heinrich Bullinger [Antistes], p495
3452, Matthieu Coignet d.Ä., p629, , Heinrich Bullinger [Antistes], p495
3453, Heinrich Bullinger [Antistes], p495, , Wolfgang Waidner, p3902
3454, Heinrich Bullinger [Antistes], p495, , , 
3455, Konrad Geßner, p1283, , , 
3456, Andreas Hyperius (Gerhardt Gheeraerdts), p8386, , Heinrich Bullinger [Antistes], p495
3457, , , , , 
3458, , , 1. Januar 1558, Heinrich Bullinger [Antistes], p495
3459, Martin Borrhaus (Cellarius), p8298, 1. Januar 1558, Heinrich Bullinger [Antistes], p495
3460, Heinrich Bullinger [Antistes], p495, 7. Januar 1558, Matthias Erb, p1010
3461, Heinrich Bullinger [Antistes], p495, 7. Januar 1558, Johannes Fabricius Montanus (Schmid), p8009
3462, Simon Sulzer, p3099, 7. Januar 1558, Heinrich Bullinger [Antistes], p495
3463, Heinrich Bullinger [Antistes], p495, 8. Januar 1558, Friedrich von Salis (a Salize de Salicibus), p8432
3464, Heinrich Bullinger [Antistes], p495, 8. Januar 1558, Simon Sulzer, p3099
3465, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 9. Januar 1558, Heinrich Bullinger [Antistes], p495
3466, Johannes Fabricius Montanus (Schmid), p8009, 10. Januar 1558, Heinrich Bullinger [Antistes], p495
3467, Friedrich von Salis (a Salize de Salicibus), p8432, 10. Januar 1558, Heinrich Bullinger [Antistes], p495
3468, Simon Sulzer, p3099, 10. Januar 1558, Heinrich Bullinger [Antistes], p495
3469, Heinrich Bullinger [Antistes], p495, 11. Januar 1558, Simon Sulzer, p3099
3470, François Hotman, p1586, 11. Januar 1558, Heinrich Bullinger [Antistes], p495
3471, Heinrich Bullinger [Antistes], p495, 12. Januar 1558, Johannes Calvin, p540
3472, Heinrich Bullinger [Antistes], p495, 12. Januar 1558, Maximilian (II.) Erzherzog von Österreich späterer Kaiser HRR, p8282
3473, Johannes Haller d.J., p8018, 12. Januar 1558, Heinrich Bullinger [Antistes], p495
3474, Heinrich Bullinger [Antistes], p495, 14. Januar 1558, Johannes Fabricius Montanus (Schmid), p8009
3475, Georg Frölich (Laetus), p8354, 14. Januar 1558, Heinrich Bullinger [Antistes], p495
3476, Matthieu Coignet d.Ä., p629, 16. Januar 1558, Heinrich Bullinger [Antistes], p495
3477, Nikolaus Dluski-Kottwitz, p829, 17. Januar 1558, Heinrich Bullinger [Antistes], p495
3478, Johannes Fabricius Montanus (Schmid), p8009, 17. Januar 1558, Heinrich Bullinger [Antistes], p495
3479, Johannes Haller d.J., p8018, 17. Januar 1558, Heinrich Bullinger [Antistes], p495
3480, François Hotman, p1586, 17. Januar 1558, Heinrich Bullinger [Antistes], p495
3481, Johannes Jung, p1754, 17. Januar 1558, Heinrich Bullinger [Antistes], p495
3482, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 18. Januar 1558, Heinrich Bullinger [Antistes], p495
3483, Bernardin Bochetel Abbé de Saint-Laurent (Sanlaurentius), p8183, 19. Januar 1558, Heinrich Bullinger [Antistes], p495
